date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:59	35804/35804	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2014:05:00%20GMT	https://regexr.com/	C:/My%20Web%20Sites/regex/regexr.com/index.html	(from )
09:04:59	71/71	---M-Z	200	added ('OK')	text/plain	etag:%2264-604c5de19b180-gzip%22	https://regexr.com/robots.txt		(from )
09:04:59	48391/48391	---M-Z	200	added ('OK')	text/css	etag:%22bd07-5ecfb9cfe3c87-gzip%22	https://regexr.com/deploy/0e8dbde09.css	C:/My%20Web%20Sites/regex/regexr.com/deploy/0e8dbde09.css	(from https://regexr.com/)
09:05:00	1164/1164	---M--	200	added ('OK')	image/png	etag:%2248c-5eb55e9730464%22	https://regexr.com/assets/icons/apple-touch-icon.png?1	C:/My%20Web%20Sites/regex/regexr.com/assets/icons/apple-touch-iconc4ca.png	(from https://regexr.com/)
09:05:00	375/375	---M--	200	added ('OK')	image/png	etag:%22177-5eb55e9730464%22	https://regexr.com/assets/icons/favicon-32x32.png?1	C:/My%20Web%20Sites/regex/regexr.com/assets/icons/favicon-32x32c4ca.png	(from https://regexr.com/)
09:05:00	273/273	---M--	200	added ('OK')	image/png	etag:%22111-5eb55e9730464%22	https://regexr.com/assets/icons/favicon-16x16.png?1	C:/My%20Web%20Sites/regex/regexr.com/assets/icons/favicon-16x16c4ca.png	(from https://regexr.com/)
09:05:01	464/464	---M--	200	added ('OK')	text/html	etag:%221d0-5eb55e9730464%22	https://regexr.com/assets/icons/site.webmanifest?1	C:/My%20Web%20Sites/regex/regexr.com/assets/icons/sitec4ca.html	(from https://regexr.com/)
09:05:01	879/879	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2236f-5eb55e9730464%22	https://regexr.com/assets/icons/safari-pinned-tab.svg?1	C:/My%20Web%20Sites/regex/regexr.com/assets/icons/safari-pinned-tabc4ca.svg	(from https://regexr.com/)
09:05:01	7406/7406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221cee-5eb55e9730464%22	https://regexr.com/assets/icons/favicon.ico?1	C:/My%20Web%20Sites/regex/regexr.com/assets/icons/faviconc4ca.ico	(from https://regexr.com/)
09:05:01	312111/312111	---MCZ	200	added ('OK')	application/javascript	etag:%224c32f-5f3d425a30c41-gzip%22	https://regexr.com/deploy/4bf54453b.js	C:/My%20Web%20Sites/regex/regexr.com/deploy/4bf54453b.js	(from https://regexr.com/)
09:05:02	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Jun%202024%2014:05:02%20GMT	https://regexr.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/regex/regexr.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://regexr.com/)
09:05:02	7847/7847	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Jun%202024%2014:05:03%20GMT	https://regexr.com/cdn-cgi/challenge-platform/h/b/scripts/jsd/c7e29c8c8b6e/main.js	C:/My%20Web%20Sites/regex/regexr.com/cdn-cgi/challenge-platform/h/b/scripts/jsd/c7e29c8c8b6e/main.js	(from https://regexr.com/)
